Student Name,Student Email Id,student mobile number,Date of submission(dd-mm-yyyy format),Assignment Title,Did you made your bed?,Did you waste any food today?,How many hours did you study?,Do you feel to share something with us today?
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,26/11/2024 21:59:32,Self Awareness,Yes,No,5,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,26/11/2024 22:12:57,Self Awareness,No,Yes,1,No
ANINDITA. P,anindita.p@gmail.com,9512345688,26/11/2024 22:45:02,Self Awareness,No,No,1,No
SONA MARIYAM,sonamariyam@gmail.com,9512345686,27/11/2024 18:15:05,Self Awareness,No,No,1,Today we are going for our school trip to ernakulam Kochi lam very excited for it 😁
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,27/11/2024 20:46:26,Self Awareness,Yes,Yes,1,
JUWAN,juwan@gmail.com,9512345678,27/11/2024 21:37:47,Self Awareness,Yes,No,1,Excited for school trip 
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,27/11/2024 22:25:56,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,27/11/2024 23:10:05,Self Awareness,No,Yes,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,27/11/2024 23:10:55,Self Awareness,No,Yes,1,I am going to abroad 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,28/11/2024 22:16:19,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,28/11/2024 23:11:02,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,29/11/2024 20:39:35,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,29/11/2024 21:51:18,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,29/11/2024 21:59:34,Self Awareness,Yes,No,3,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,29/11/2024 22:49:34,Self Awareness,No,No,5,I am so happy today it is because today I make my father happy by telling how much I love him.
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,29/11/2024 23:12:34,Self Awareness,No,No,1,Tomorrow I will be go to gulf 
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,29/11/2024 23:48:25,Self Awareness,No,Yes,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,30/11/2024 22:15:06,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,01/12/2024 00:01:31,Self Awareness,No,No,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,01/12/2024 00:05:36,Self Awareness,No,No,3,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,01/12/2024 20:33:40,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,01/12/2024 21:09:38,Self Awareness,Yes,No,2,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,01/12/2024 22:04:11,Self Awareness,No,No,3,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,01/12/2024 22:58:10,Self Awareness,No,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,02/12/2024 20:01:52,Self Awareness,No,No,5,Njn inn oru kutti ottak sad aayi irukkunnat kandu naanum ente friendsum avalude aduth poyi avale happy aakki
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,02/12/2024 21:35:18,Self Awareness,No,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,02/12/2024 21:48:10,Self Awareness,No,No,3,
JUWAN,juwan@gmail.com,9512345678,02/12/2024 21:56:53,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,03/12/2024 00:08:18,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,03/12/2024 17:44:50,Self Awareness,No,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,03/12/2024 17:47:24,Self Awareness,No,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,03/12/2024 20:23:54,Self Awareness,Yes,No,2,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,03/12/2024 21:37:08,Self Awareness,No,No,3,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,03/12/2024 21:49:08,Self Awareness,No,Yes,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,03/12/2024 21:58:06,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,03/12/2024 22:18:53,Self Awareness,No,No,2,
JUWAN,juwan@gmail.com,9512345678,04/12/2024 21:52:53,Self Awareness,Yes,No,1,There is no study today 
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,04/12/2024 22:03:05,Self Awareness,No,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,04/12/2024 22:12:35,Self Awareness,Yes,Yes,3,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,04/12/2024 22:19:39,Self Awareness,No,No,3,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,04/12/2024 23:06:24,Self Awareness,Yes,No,4,Today i am so happy today i studied a new lesson that ullathukond thripthi Pedan
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,05/12/2024 06:59:14,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,05/12/2024 10:31:15,Self Awareness,Yes,No,3,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,05/12/2024 20:43:39,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,05/12/2024 21:35:27,Self Awareness,No,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,05/12/2024 21:40:38,Self Awareness,No,No,1,I didn't make my friend unhappy 
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,05/12/2024 21:49:49,Self Awareness,No,No,3,
JUWAN,juwan@gmail.com,9512345678,05/12/2024 22:55:35,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,06/12/2024 00:55:04,Self Awareness,No,No,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,06/12/2024 21:37:09,Self Awareness,No,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,06/12/2024 21:55:44,Self Awareness,Yes,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,06/12/2024 22:03:11,Self Awareness,No,No,3,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,06/12/2024 22:14:14,Self Awareness,No,No,1,I get a new friend and I talk with her for a while.
JUWAN,juwan@gmail.com,9512345678,06/12/2024 22:30:19,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,07/12/2024 02:53:34,Self Awareness,Yes,No,1,No
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,07/12/2024 20:57:13,Self Awareness,No,No,3,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,07/12/2024 21:29:19,Self Awareness,No,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,07/12/2024 21:37:48,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,07/12/2024 21:39:01,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,07/12/2024 21:59:46,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,07/12/2024 23:53:00,Self Awareness,No,No,1,No
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,08/12/2024 21:19:05,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,08/12/2024 22:04:48,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,08/12/2024 23:00:37,Self Awareness,Yes,No,2,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,08/12/2024 23:06:16,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,09/12/2024 07:04:53,Self Awareness,Yes,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,09/12/2024 19:09:02,Self Awareness,Yes,No,2,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,09/12/2024 20:43:46,Self Awareness,No,No,4,Me and my friend do a new thing which is very important to the life.
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,09/12/2024 21:09:33,Self Awareness,No,No,3,
JUWAN,juwan@gmail.com,9512345678,09/12/2024 21:13:54,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,09/12/2024 21:43:01,Self Awareness,No,Yes,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,09/12/2024 23:02:38,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,10/12/2024 04:18:24,Self Awareness,Yes,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,10/12/2024 20:45:17,Self Awareness,No,No,4,In my garden one plant germinated.
SONA MARIYAM,sonamariyam@gmail.com,9512345686,10/12/2024 21:03:08,Self Awareness,No,No,2,Sorry l forgot to submit this sol children dairy A lot of days . 
JUWAN,juwan@gmail.com,9512345678,10/12/2024 21:42:37,Self Awareness,Yes,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,10/12/2024 21:43:21,Self Awareness,No,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,10/12/2024 21:45:50,Self Awareness,No,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,10/12/2024 23:17:47,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,10/12/2024 23:47:34,Self Awareness,Yes,No,2,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,11/12/2024 20:28:49,Self Awareness,Yes,Yes,2,today think all class have sol class but only for 7 class . today i write the home work.thankyou
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,11/12/2024 20:42:18,Self Awareness,No,No,5,namukk verupp kond orikkalum verippine maattaan Kayiyilla pakaram Sneham kond mathrame veruppine maattan kayiyum.
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,11/12/2024 21:03:07,Self Awareness,No,No,3,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,11/12/2024 21:44:12,Self Awareness,No,No,2,"Yes , l feel like to share something that is , one year ago my wish was to die because l hate my life but now hearing sol classes and my friends family story’s l feel like l am very lucky to have a family very good friends and 2 hands and 2 eyes etc …. Many more so l would tell you enjoy your life  keep smiling every day 😁"
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,11/12/2024 21:53:57,Self Awareness,Yes,No,1,"No
"
ANINDITA. P,anindita.p@gmail.com,9512345688,11/12/2024 21:56:59,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,11/12/2024 22:32:12,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,11/12/2024 23:00:36,Self Awareness,Yes,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,12/12/2024 20:14:14,Self Awareness,Yes,No,3,In my garden one small plant germinated which I had planted😊.
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,12/12/2024 20:41:46,Self Awareness,Yes,Yes,2,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,12/12/2024 21:02:56,Self Awareness,No,No,3,
JUWAN,juwan@gmail.com,9512345678,12/12/2024 21:31:18,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,12/12/2024 21:33:46,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,12/12/2024 21:38:59,Self Awareness,No,No,2,"Yes , enjoy your life !! Do you know what make me a peaceful day ,Sleeping give a peace day for me l love to sleep it’s very peaceful as a student l request all my dear sol teachers to sleep well for a peaceful day it also remove all you stress and anger and more things so sleep well !!! Byee good night 😴🤝"
ANINDITA. P,anindita.p@gmail.com,9512345688,12/12/2024 22:05:12,Self Awareness,No,No,2,No
ANINDITA. P,anindita.p@gmail.com,9512345688,12/12/2024 22:05:53,Self Awareness,No,No,2,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,13/12/2024 01:34:08,Self Awareness,No,No,1,No
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,13/12/2024 20:39:01,Self Awareness,Yes,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,13/12/2024 20:59:50,Self Awareness,Yes,No,2,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,13/12/2024 21:21:36,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,13/12/2024 21:45:59,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,13/12/2024 22:19:48,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,13/12/2024 23:16:14,Self Awareness,No,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,14/12/2024 00:42:58,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,14/12/2024 00:58:22,Self Awareness,Yes,No,1,No 
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,14/12/2024 20:28:52,Self Awareness,No,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,14/12/2024 20:55:50,Self Awareness,Yes,Yes,2,
JUWAN,juwan@gmail.com,9512345678,14/12/2024 21:25:37,Self Awareness,Yes,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,14/12/2024 22:01:34,Self Awareness,Yes,No,1,I have enjoyed this Day with my family by going to my cousins house.
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,14/12/2024 22:18:40,Self Awareness,Yes,No,1,No
SONA MARIYAM,sonamariyam@gmail.com,9512345686,14/12/2024 22:28:10,Self Awareness,Yes,Yes,2,"Yes , it is that l watched the movie which is famous now a days ( qalb ) l loved it very much. dear teachers, l suggest to watch qalb .it is amazing. The best movie l watched in 2024 . Must watch 🤩🫠👍🏻"
SONA MARIYAM,sonamariyam@gmail.com,9512345686,15/12/2024 21:07:29,Self Awareness,Yes,No,1,I live my life very much because l got the best parents and friends in the whole world. Today my father is bringing our dog to our home finally my mother and grandfather give permission. Iam so excited to see our new member . 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,15/12/2024 21:09:15,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,15/12/2024 21:48:27,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,15/12/2024 21:53:47,Self Awareness,No,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,15/12/2024 22:40:16,Self Awareness,No,No,2,I just smile to one person and he became very happy 😊.
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,16/12/2024 00:07:26,Self Awareness,Yes,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,16/12/2024 20:07:00,Self Awareness,Yes,No,4,dont make anyone lonely.dont hate anyone do not cheat anyone 
ANINDITA. P,anindita.p@gmail.com,9512345688,16/12/2024 21:18:53,Self Awareness,No,No,2,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,16/12/2024 21:18:57,Self Awareness,Yes,No,2,
JUWAN,juwan@gmail.com,9512345678,16/12/2024 21:26:35,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,16/12/2024 21:36:51,Self Awareness,No,No,2,"Yes , when lam in school l am very happy but when l reach home it is very boring l don’t know why ?? 🤔"
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,16/12/2024 22:19:01,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,16/12/2024 23:37:12,Self Awareness,Yes,No,1,All teacher is good 
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,17/12/2024 20:36:10,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,17/12/2024 21:09:15,Self Awareness,Yes,Yes,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,17/12/2024 21:46:45,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,17/12/2024 22:05:34,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,17/12/2024 22:24:48,Self Awareness,No,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,17/12/2024 22:37:43,Self Awareness,Yes,No,1,IAM missing my friend  only 2 friends 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,18/12/2024 20:56:55,Self Awareness,Yes,No,1,"Today we have open house and we are exited because  in friday in our school food fest and exbtion horror house music roomand many items 
"
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,18/12/2024 22:00:07,Self Awareness,Yes,No,1,I understand 🤩that hate cannot remove hate😔 only love 💝 can remove hate ☺️
JUWAN,juwan@gmail.com,9512345678,18/12/2024 22:24:40,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,18/12/2024 22:35:07,Self Awareness,No,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,18/12/2024 22:37:21,Self Awareness,Yes,No,3,
ANINDITA. P,anindita.p@gmail.com,9512345688,18/12/2024 23:47:13,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,19/12/2024 08:49:51,Self Awareness,Yes,No,1,Very cold 
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,19/12/2024 09:43:17,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,19/12/2024 21:28:35,Self Awareness,No,No,2,Nale njngalode schoolil perruvadi aan food fastum aan and exhibition und . Pinna nale mothal njngalk leave aan 🥳
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,19/12/2024 21:57:36,Self Awareness,Yes,No,1,
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,19/12/2024 22:06:49,Self Awareness,No,No,3,
ANINDITA. P,anindita.p@gmail.com,9512345688,19/12/2024 22:39:25,Self Awareness,No,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,19/12/2024 22:57:48,Self Awareness,Yes,No,1,Today understand how Kindfull some humans are☺️
JUWAN,juwan@gmail.com,9512345678,19/12/2024 23:06:57,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,20/12/2024 02:48:13,Self Awareness,Yes,No,1,Nice 
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,20/12/2024 20:10:52,Self Awareness,No,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,20/12/2024 20:24:18,Self Awareness,No,Yes,2,"I got exmition maths 1St prize iam sooo happy
"
SONA MARIYAM,sonamariyam@gmail.com,9512345686,20/12/2024 22:04:40,Self Awareness,No,No,2,Today was amazing at school l loved it very much thnks to the teachers to make this much fun 😍
JUWAN,juwan@gmail.com,9512345678,20/12/2024 22:19:53,Self Awareness,No,Yes,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,20/12/2024 22:37:51,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,20/12/2024 22:42:52,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,21/12/2024 02:54:30,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,21/12/2024 20:23:35,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,21/12/2024 22:54:09,Self Awareness,No,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,22/12/2024 00:03:33,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,22/12/2024 00:54:22,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,22/12/2024 20:01:14,Self Awareness,Yes,Yes,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,22/12/2024 21:47:26,Self Awareness,Yes,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,22/12/2024 21:52:19,Self Awareness,No,No,1,"Please help others like who wasn't able to see ,hear or smell ."
JUWAN,juwan@gmail.com,9512345678,22/12/2024 22:17:29,Self Awareness,Yes,No,3,Happy 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,23/12/2024 08:48:39,Self Awareness,Yes,No,1,Best class 
ANINDITA. P,anindita.p@gmail.com,9512345688,23/12/2024 21:33:56,Self Awareness,No,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,23/12/2024 21:54:10,Self Awareness,Yes,Yes,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,23/12/2024 21:55:16,Self Awareness,No,No,2,No
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,24/12/2024 00:37:52,Self Awareness,No,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,24/12/2024 21:01:04,Self Awareness,Yes,No,1,"
Don't waste time every moment is very important 💕"
JUWAN,juwan@gmail.com,9512345678,24/12/2024 22:09:23,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,24/12/2024 23:20:40,Self Awareness,No,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,25/12/2024 20:03:14,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,25/12/2024 21:59:20,Self Awareness,Yes,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,26/12/2024 01:34:04,Self Awareness,Yes,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,26/12/2024 20:23:57,Self Awareness,Yes,No,1,To help poor people 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,26/12/2024 20:35:23,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,26/12/2024 23:25:43,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,27/12/2024 01:36:08,Self Awareness,Yes,No,1,Nice one 
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,27/12/2024 10:46:47,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,27/12/2024 21:31:29,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,27/12/2024 23:36:06,Self Awareness,Yes,No,1,Nice 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,28/12/2024 19:23:41,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,28/12/2024 20:08:26,Self Awareness,Yes,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,29/12/2024 20:11:41,Self Awareness,Yes,No,1,Today I eat ice cream 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,29/12/2024 20:48:20,Self Awareness,Yes,Yes,2,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,29/12/2024 21:54:38,Self Awareness,Yes,No,3,I understand that when we are lonely we feel sad but when we have a person to share everything we  feel happy 😊.
JUWAN,juwan@gmail.com,9512345678,29/12/2024 22:18:47,Self Awareness,No,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,29/12/2024 23:48:57,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,30/12/2024 20:00:49,Self Awareness,No,No,1,Nice 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,30/12/2024 20:35:19,Self Awareness,Yes,No,2,
JUWAN,juwan@gmail.com,9512345678,30/12/2024 21:34:50,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,31/12/2024 20:42:37,Self Awareness,No,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,31/12/2024 21:12:08,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,31/12/2024 22:44:41,Self Awareness,No,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,01/01/2025 21:50:56,Self Awareness,Yes,Yes,1,
JUWAN,juwan@gmail.com,9512345678,01/01/2025 22:32:29,Self Awareness,Yes,No,1,Happy new year 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,02/01/2025 00:13:02,Self Awareness,No,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,02/01/2025 19:55:23,Self Awareness,No,No,0,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,02/01/2025 20:51:38,Self Awareness,Yes,No,1,To help differently abled people.
JUWAN,juwan@gmail.com,9512345678,02/01/2025 22:21:10,Self Awareness,Yes,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,02/01/2025 22:21:32,Self Awareness,No,No,0,No
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,02/01/2025 22:38:18,Self Awareness,Yes,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,02/01/2025 22:53:17,Self Awareness,No,No,0,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,03/01/2025 19:58:45,Self Awareness,Yes,Yes,0,"We want so intresting questions
"
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,03/01/2025 20:37:46,Self Awareness,No,No,2,
JUWAN,juwan@gmail.com,9512345678,03/01/2025 22:23:50,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,03/01/2025 22:48:41,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,04/01/2025 04:14:48,Self Awareness,No,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,04/01/2025 22:13:46,Self Awareness,Yes,No,2,We are  having  food for 3 time but some children are so unlucky they didn't have food to eat for 1 time itself so don't waste food.
JUWAN,juwan@gmail.com,9512345678,04/01/2025 22:47:26,Self Awareness,Yes,No,0,Enjoyed at beach 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,05/01/2025 03:34:27,Self Awareness,No,No,2,Nothing 
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,05/01/2025 21:46:52,Self Awareness,Yes,No,1,
MUHAMMED NASHWAN. C.K.,muhammednashwan.@gmail.com,9512345685,05/01/2025 22:10:30,Self Awareness,Yes,No,1,
